StreetAddress,City,State,ZipCode,AUTO_UNIQUE_ID_2024-05-08_Charissa-Roeuiowaedu_Addresses,TransactionId,TimeTaken,Source,Version,UpdatedGeocoding,ErrorMessage,Latitude,Longitude,MatchType,FeatureMatchingGeographyType,MicroMatchStatus,MatchScore,GeocodeQualityType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType,PenaltyCode,PenaltyCodeSummary,InterpolationType,InterpolationSubType,MatchedLocationType,FeatureMatchingResultType,FeatureMatchingResultCount,FeatureMatchingResultTypeNotes,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,OutputGeocodes,MNumber,MNumberFractional,MPreDirectional,MPreQualifier,MPreType,MPreArticle,MName,MPostArticle,MSuffix,MPostQualifier,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,PNumber,PNumberFractional,PPreDirectional,PPreQualifier,PPreType,PPreArticle,PName,PPostArticle,PSuffix,PPostQualifier,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5
316 S COMMERCIAL ST,CARSON,IA,51525,1271,4d5d5832-797f-4982-afe4-ad9d64407966,0.1906319,TAMUGeocoder,5.0.0,1,,41.2344831,-95.4226547,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},316,,S,,,,COMMERCIAL,,ST,,,,,,,CARSON,,,,,IA,51525,,,,,,316,,S,,,,COMMERCIAL,,ST,,,,,,,CARSON,,,,,IA,51525,,,,,
2447 AVENUE B,COUNCIL BLUFFS,IA,51501,1272,ea77b62e-8be0-499b-a765-5ae09ecda67c,0.3449601,TAMUGeocoder,5.0.0,1,,41.2634137,-95.8814489,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
2447 AVENUE B,COUNCIL BLUFFS,IA,51501,1273,c558d2d1-82f4-4c6f-be4b-886191a49924,0.1550442,TAMUGeocoder,5.0.0,1,,41.2634137,-95.8814489,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
2447 AVENUE B,COUNCIL BLUFFS,IA,51501,1274,c96c7085-4243-489d-8e11-c73e784d7987,0.0781321,TAMUGeocoder,5.0.0,1,,41.2634137,-95.8814489,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
2447 AVENUE B,COUNCIL BLUFFS,IA,51501,1275,2d7c2031-674b-423d-a29f-5ba21b08ebf8,0.1236334,TAMUGeocoder,5.0.0,1,,41.2634137,-95.8814489,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
2447 AVENUE B,COUNCIL BLUFFS,IA,51501,1276,cb4ec9be-7cf1-4e31-a770-8dd75400ba55,0.0781269,TAMUGeocoder,5.0.0,1,,41.2634137,-95.8814489,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,2447,,,,AVE,,B,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
11 S 1ST ST,COUNCIL BLUFFS,IA,51503,1277,c9670703-01a4-45d6-b3d4-7f477349dc5a,0.563107,TAMUGeocoder,5.0.0,1,,41.2631387,-95.8433418,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},11,,S,,,,1ST,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,11,,S,,,,1ST,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
11 S 1ST ST,COUNCIL BLUFFS,IA,51503,1278,3a452a31-c3d7-4f7e-ac4f-02f6517c5528,0.1718759,TAMUGeocoder,5.0.0,1,,41.2631387,-95.8433418,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},11,,S,,,,1ST,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,11,,S,,,,1ST,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
2109 RAILROAD HWY,COUNCIL BLUFFS,IA,51503,1279,35aee0bf-e9d2-4c09-bcb2-bf10d67e5222,0.1418316,TAMUGeocoder,5.0.0,1,,41.2809984,-95.8060129,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2109,,,,,,RAILROAD,,HWY,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,2109,,,,,,RAILROAD,,HWY,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
2109 RAILROAD HWY,COUNCIL BLUFFS,IA,51503,1280,4aaad753-c671-4a03-bda4-775eca051d3a,0.1099361,TAMUGeocoder,5.0.0,1,,41.2809984,-95.8060129,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2109,,,,,,RAILROAD,,HWY,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,2109,,,,,,RAILROAD,,HWY,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
30 VALLEY VIEW DR,COUNCIL BLUFFS,IA,51503,1281,0d0f7c57-58a4-4458-82fe-76563c938aa3,0.3124996,TAMUGeocoder,5.0.0,1,,41.2636073,-95.8035981,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},30,,,,,,VALLEY VIEW,,DR,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,30,,,,,,VALLEY VIEW,,DR,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
30 VALLEY VIEW DR,COUNCIL BLUFFS,IA,51503,1282,fbe1f237-8eda-4392-9df7-ea8b04b5da41,0.1249972,TAMUGeocoder,5.0.0,1,,41.2636073,-95.8035981,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},30,,,,,,VALLEY VIEW,,DR,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,30,,,,,,VALLEY VIEW,,DR,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
11 S 1ST ST,COUNCIL BLUFFS,IA,51503,1283,4f0585b1-8b59-48b2-b68c-cc7599c3d174,0.1189658,TAMUGeocoder,5.0.0,1,,41.2631387,-95.8433418,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},11,,S,,,,1ST,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,11,,S,,,,1ST,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
3320 HARRY LANGDON BLVD,COUNCIL BLUFFS,IA,51503,1284,1b372cea-bf51-43b5-a6d6-b132c36ac2a3,0.1093747,TAMUGeocoder,5.0.0,1,,41.2264984,-95.8269183,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},3320,,,,,,HARRY LANGDON,,BLVD,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,3320,,,,,,HARRY LANGDON,,BLVD,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
400 WILLOW AVE,COUNCIL BLUFFS,IA,51501,1285,2ac56800-f501-4aab-9d0d-c37f72842279,0.624607,TAMUGeocoder,5.0.0,1,,41.2280155568896,-95.878907557974,,ZCTA,Match,100,,68679405.56,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},400,,,,,,WILLOW,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,400,,,,,,WILLOW,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
400 WILLOW AVE,COUNCIL BLUFFS,IA,51501,1286,364a68f0-b7f1-4409-a294-ed599be265e2,0.454289,TAMUGeocoder,5.0.0,1,,41.2280155568896,-95.878907557974,,ZCTA,Match,100,,68679405.56,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},400,,,,,,WILLOW,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,400,,,,,,WILLOW,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
400 WILLOW AVE,COUNCIL BLUFFS,IA,51501,1287,bdd32911-b9f4-4662-a3d2-f0fc2be676ce,0.4716566,TAMUGeocoder,5.0.0,1,,41.2280155568896,-95.878907557974,,ZCTA,Match,100,,68679405.56,Meters,09,AddressZIPCentroid,MMMM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},400,,,,,,WILLOW,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,400,,,,,,WILLOW,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
3304 4TH AVE,COUNCIL BLUFFS,IA,51501,1288,af265789-e7e8-4d75-8c93-1b28c54733bb,0.3455665,TAMUGeocoder,5.0.0,1,,41.2582536,-95.8979209,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},3304,,,,,,4TH,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,3304,,,,,,4TH,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
3304 4TH AVE,COUNCIL BLUFFS,IA,51501,1289,fc93cd87-1692-4dd6-a7d1-b4286dd33c3a,0.1262359,TAMUGeocoder,5.0.0,1,,41.2582536,-95.8979209,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},3304,,,,,,4TH,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,3304,,,,,,4TH,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
2309 S 13TH ST,COUNCIL BLUFFS,IA,51501,1290,6b32ec72-cfd1-4610-b2ed-b12a79321648,0.4704722,TAMUGeocoder,5.0.0,1,,41.2391004,-95.8629881,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},2309,,S,,,,13TH,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,2309,,S,,,,13TH,,ST,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
224 WALLACE AVE,COUNCIL BLUFFS,IA,51501,1291,71c8ad88-6e7b-492e-989e-e5b5a0f5a6a0,0.1111204,TAMUGeocoder,5.0.0,1,,41.2078286,-95.8397642,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},224,,,,,,WALLACE,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,224,,,,,,WALLACE,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
224 WALLACE AVE,COUNCIL BLUFFS,IA,51501,1292,66e3b4d7-8d32-4ae5-a3f3-4afe878beab4,0.1346332,TAMUGeocoder,5.0.0,1,,41.2078286,-95.8397642,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},224,,,,,,WALLACE,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,224,,,,,,WALLACE,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
224 WALLACE AVE,COUNCIL BLUFFS,IA,51501,1293,0f7a82ea-90d9-4e17-84cc-6f0818a9969a,0.1093637,TAMUGeocoder,5.0.0,1,,41.2078286,-95.8397642,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},224,,,,,,WALLACE,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,,224,,,,,,WALLACE,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51501,,,,,
950 E LOCUST ST,CARTER LAKE,IA,51510,1294,a77026f2-6c6c-4cb4-820a-0602171b750f,0.2476859,TAMUGeocoder,5.0.0,1,,41.2855477,-95.9167233,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMM7MMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},950,,E,,,,LOCUST,,ST,,,,,,,CARTER LAKE,,,,,IA,51510,,,,,,950,,E,,,,LOCUST,,ST,,,,,,,CARTER LAKE,,,,,IA,51510,,,,,
950 E LOCUST ST,CARTER LAKE,IA,51510,1295,7409b71a-1cd2-4838-b9bb-6498668017c9,0.1562308,TAMUGeocoder,5.0.0,1,,41.2855477,-95.9167233,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMM7MMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},950,,E,,,,LOCUST,,ST,,,,,,,CARTER LAKE,,,,,IA,51510,,,,,,950,,E,,,,LOCUST,,ST,,,,,,,CARTER LAKE,,,,,IA,51510,,,,,
401 E WELCH ST,CRESCENT,IA,51526,1296,33970da2-d005-45e7-b9d6-84c505711619,0.1250196,TAMUGeocoder,5.0.0,1,,41.363945,-95.8541958,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},401,,E,,,,WELCH,,ST,,,,,,,CRESCENT,,,,,IA,51526,,,,,,401,,E,,,,WELCH,,ST,,,,,,,CRESCENT,,,,,IA,51526,,,,,
30 VALLEY VIEW DR,COUNCIL BLUFFS,IA,51503,1297,7902d297-485d-4501-9676-da3e32dd35f0,0.091135,TAMUGeocoder,5.0.0,1,,41.2636073,-95.8035981,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},30,,,,,,VALLEY VIEW,,DR,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,30,,,,,,VALLEY VIEW,,DR,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
614 DR VAN ZEE RD,OAKLAND,IA,51560,1298,b69c957e-5b84-4728-8817-26c1f1d4be53,0.0736087,TAMUGeocoder,5.0.0,1,,41.3006943,-95.4031369,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},614,,,,,,DRIVE VAN ZEE,,RD,,,,,,,OAKLAND,,,,,IA,51560,,,,,,614,,,,,,DRIVE VAN ZEE,,RD,,,,,,,OAKLAND,,,,,IA,51560,,,,,
112 N ELM ST,AVOCA,IA,51521,1299,1ab9595d-c6e9-44e0-b1fe-0c3ed765020f,0.0156616,TAMUGeocoder,5.0.0,1,,41.477003468966,-95.3398320313661,,BuildingCentroid,Match,100,,2181.96,Meters,00,AddressPoint,MMMMMMMMMMFFF0,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},112,,N,,,,ELM,,ST,,,,,,,AVOCA,,,,,IA,51521,,,,,,112,,N,,,,ELM,,ST,,,,,,,AVOCA,,,,,IA,51521,,,,,
20794 HWY 92,COUNCIL BLUFFS,IA,51503,1300,70b7292d-a331-4e22-aca3-6c7cbb75001d,0.3772342,TAMUGeocoder,5.0.0,1,,41.2328501,-95.7884703,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},20794,,,,HWY,,92,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,20794,,,,HWY,,92,,,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
14955 SOMERSET AVE,COUNCIL BLUFFS,IA,51503,1301,6ce2cff2-a4a7-4ff6-a5be-c126ac6c369d,0.3750132,TAMUGeocoder,5.0.0,1,,41.2319353,-95.7991008,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},14955,,,,,,SOMERSET,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,,14955,,,,,,SOMERSET,,AVE,,,,,,,COUNCIL BLUFFS,,,,,IA,51503,,,,,
404 POTTER ST,MACEDONIA,IA,51549,1302,512724d0-db09-4095-ae2b-17bebf4e844c,0.6111437,TAMUGeocoder,5.0.0,1,,41.1933911,-95.4252892,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMM2MMMAFFFF,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},404,,,,,,POTTER,,ST,,,,,,,MACEDONIA,,,,,IA,51549,,,,,,404,,,,,,POTTER,,ST,,,,,,,MACEDONIA,,,,,IA,51549,,,,,
300 2ND AVE,UNDERWOOD,IA,51576,1303,a77f7db3-034d-4ce2-bbb8-c83d45673fdb,0.2513049,TAMUGeocoder,5.0.0,1,,41.3868119,-95.6768411,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},300,,,,,,2ND,,AVE,,,,,,,UNDERWOOD,,,,,IA,51576,,,,,,300,,,,,,2ND,,AVE,,,,,,,UNDERWOOD,,,,,IA,51576,,,,,
106 LINCOLN,MINDEN,IA,51553,1304,8dfb417c-24f0-4f5e-ab07-c7057ab15878,0.1250053,TAMUGeocoder,5.0.0,1,,41.4646772,-95.5455482,,Parcel,Match,97.9289940828402,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},106,,,,,,LINCOLN,,,,,,,,,MINDEN,,,,,IA,51553,,,,,,106,,,,,,LINCOLN,,,,,,,,,MINDEN,,,,,IA,51553,,,,,
110 4TH ST,NEOLA,IA,51559,1305,97a8c5cd-cde3-4975-9519-f911f6ea9647,0.2198084,TAMUGeocoder,5.0.0,1,,41.4488977,-95.617375,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},110,,,,,,4TH,,ST,,,,,,,NEOLA,,,,,IA,51559,,,,,,110,,,,,,4TH,,ST,,,,,,,NEOLA,,,,,IA,51559,,,,,
614 DR VAN ZEE RD,OAKLAND,IA,51560,1306,0fa9ca3f-7dc7-46ea-9731-4975ba5248cf,0.135634,TAMUGeocoder,5.0.0,1,,41.3006943,-95.4031369,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},614,,,,,,DRIVE VAN ZEE,,RD,,,,,,,OAKLAND,,,,,IA,51560,,,,,,614,,,,,,DRIVE VAN ZEE,,RD,,,,,,,OAKLAND,,,,,IA,51560,,,,,
11 W MAIN ST,TREYNOR,IA,51575,1307,e1383e8f-91a0-4e54-a138-d0b4f670050d,0.1250157,TAMUGeocoder,5.0.0,1,,41.2323428,-95.6142726,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},11,,W,,,,MAIN,,ST,,,,,,,TREYNOR,,,,,IA,51575,,,,,,11,,W,,,,MAIN,,ST,,,,,,,TREYNOR,,,,,IA,51575,,,,,
300 2ND AVE,UNDERWOOD,IA,51576,1308,d92a8a60-b223-48c5-bfcf-6c77203df0ad,0.1110375,TAMUGeocoder,5.0.0,1,,41.3868314,-95.6770087,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMMMMMMMFFF1,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,BrokenTie,2,,ReturnAll,,FeatureClassBased,,{},300,,,,,,2ND,,AVE,,,,,,,UNDERWOOD,,,,,IA,51576,,,,,,300,,,,,,2ND,,AVE,,,,,,,UNDERWOOD,,,,,IA,51576,,,,,
415 ANTIQUE CITY DR,WALNUT,IA,51577,1309,12b647f2-3d70-4d47-ac13-77039c6d5d07,0.7756424,TAMUGeocoder,5.0.0,1,,41.4800981,-95.2217827,,Parcel,Match,100,,0,Meters,00,AddressPoint,MMMMM2MMMAFFFF,MMMMMMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},415,,,,,,ANTIQUE CITY,,DR,,,,,,,WALNUT,,,,,IA,51577,,,,,,415,,,,,,ANTIQUE CITY,,DR,,,,,,,WALNUT,,,,,IA,51577,,,,,
105 JACKSON STREET,BROOKLYN,IA,52211,1310,ba3f7902-cd41-4e78-bb30-6b485f010818,0.5798955,TAMUGeocoder,5.0.0,1,,41.7603506438696,-92.4476752127618,,ZCTA,Match,100,,236572181.4,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},105,,,,,,JACKSON,,ST,,,,,,,BROOKLYN,,,,,IA,52211,,,,,,105,,,,,,JACKSON,,ST,,,,,,,BROOKLYN,,,,,IA,52211,,,,,
701 MAIN ST,DEEP RIVER,IA,52222,1311,ee5c4b1f-ca3e-442f-a5b4-f8c75563381e,0.4254221,TAMUGeocoder,5.0.0,1,,41.5730419170012,-92.3407775378973,,ZCTA,Match,100,,209083610.38,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFF9,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},701,,,,,,MAIN,,ST,,,,,,,DEEP RIVER,,,,,IA,52222,,,,,,701,,,,,,MAIN,,ST,,,,,,,DEEP RIVER,,,,,IA,52222,,,,,
105 JACKSON STREET,BROOKLYN,IA,52211,1312,6e870d30-0118-4169-b833-b449dc1cb9d7,0.361266,TAMUGeocoder,5.0.0,1,,41.7603506438696,-92.4476752127618,,ZCTA,Match,100,,236572181.4,Meters,09,AddressZIPCentroid,MMFM3FMMMMFFFB,MMMMRMMMMMMMMM,ArealInterpolation,ArealInterpolationGeometricCentroid,StreetAddress,Success,1,,ReturnAll,,FeatureClassBased,,{},105,,,,,,JACKSON,,ST,,,,,,,BROOKLYN,,,,,IA,52211,,,,,,105,,,,,,JACKSON,,ST,,,,,,,BROOKLYN,,,,,IA,52211,,,,,
